LAT, LONG, EL, TIMESTAMP, TIME
40.7499010,-74.0086311,1.750,2012-02-02T19:51:37Z,1328230297.0
40.7498003,-74.0086037,1.281,2012-02-02T19:51:39Z,1328230299.0
40.7496455,-74.0085545,0.838,2012-02-02T19:51:42Z,1328230302.0
40.7495431,-74.0085395,0.401,2012-02-02T19:51:44Z,1328230304.0
40.7494155,-74.0085702,0.199,2012-02-02T19:51:47Z,1328230307.0
40.7493362,-74.0086019,0.266,2012-02-02T19:51:49Z,1328230309.0
40.7491718,-74.0086048,0.351,2012-02-02T19:51:52Z,1328230312.0
40.7490526,-74.0085712,0.262,2012-02-02T19:51:54Z,1328230314.0
40.7489555,-74.0085169,0.097,2012-02-02T19:51:56Z,1328230316.0
40.7488161,-74.0084421,0.000,2012-02-02T19:51:59Z,1328230319.0
40.7486931,-74.0083756,0.133,2012-02-02T19:52:02Z,1328230322.0
40.7486597,-74.0083144,0.581,2012-02-02T19:52:05Z,1328230325.0
40.7486142,-74.0082227,1.497,2012-02-02T19:52:07Z,1328230327.0
40.7485256,-74.0081209,3.140,2012-02-02T19:52:10Z,1328230330.0
40.7484734,-74.0080607,5.410,2012-02-02T19:52:12Z,1328230332.0
40.7483746,-74.0080106,7.614,2012-02-02T19:52:15Z,1328230335.0
40.7483163,-74.0080183,9.034,2012-02-02T19:52:17Z,1328230337.0
40.7482034,-74.0080386,9.507,2012-02-02T19:52:20Z,1328230340.0
40.7481297,-74.0080498,9.457,2012-02-02T19:52:22Z,1328230342.0
40.7480633,-74.0080731,9.146,2012-02-02T19:52:24Z,1328230344.0
40.7479665,-74.0080963,8.652,2012-02-02T19:52:26Z,1328230346.0
40.7477857,-74.0081303,8.138,2012-02-02T19:52:29Z,1328230349.0
40.7476160,-74.0081721,7.621,2012-02-02T19:52:32Z,1328230352.0
40.7474872,-74.0082178,6.952,2012-02-02T19:52:34Z,1328230354.0
40.7473009,-74.0082828,6.017,2012-02-02T19:52:37Z,1328230357.0
40.7471704,-74.0083197,4.737,2012-02-02T19:52:40Z,1328230360.0
40.7470790,-74.0083393,3.288,2012-02-02T19:52:42Z,1328230362.0
40.7469716,-74.0083755,1.904,2012-02-02T19:52:45Z,1328230365.0
40.7469716,-74.0083755,0.730,2012-02-02T19:52:46Z,1328230366.0
40.7469716,-74.0083755,0.006,2012-02-02T19:53:15Z,1328230395.0
40.7468400,-74.0080620,0.000,2012-02-02T19:54:01Z,1328230441.0
